userId,age,gender,country,positive,negative,mixed,cluster,medoid
21,2.933903194819822,0.0,1.7874048008113603,"['57727c95edc2cb3880e4d1d4', '57727cbaedc2cb3880e561f7', '57727c95edc2cb3880e4d1d4']",['57727cbaedc2cb3880e561f7'],[],1,-1.0
22,3.5206838337837865,2.021722956442927,1.7874048008113603,"['57727c88edc2cb3880e4be65', '57727015edc2cb3880bceb08', '57726f59edc2cb3880ba76b3', '57727cbaedc2cb3880e561f7', '5772700eedc2cb3880bc82ce']",['5772700eedc2cb3880bc82ce'],"['57726e37edc2cb3880b628ee', '57726f59edc2cb3880ba76b3', '57727cbaedc2cb3880e561f7', '57727015edc2cb3880bceb08']",0,-1.0
24,2.347122555855857,2.021722956442927,0.3574809601622721,"['57726f59edc2cb3880ba76b3', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57726f56edc2cb3880ba7233', '57726f56edc2cb3880ba7233', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57726f77edc2cb3880baa4c5']","['57726f77edc2cb3880baa4c5', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7']","['57727cbaedc2cb3880e561f7', '57726f56edc2cb3880ba7233']",0,-1.0
25,2.347122555855857,0.0,0.3574809601622721,"['57727c88edc2cb3880e4be65', '57726e37edc2cb3880b628ee']","['57726e37edc2cb3880b628ee', '57727cbaedc2cb3880e561f7']",[],1,-1.0
26,2.347122555855857,2.021722956442927,0.0,"['57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727c2eedc2cb3880e39405', '57727c2eedc2cb3880e39405', '57727c2eedc2cb3880e39405', '57726f56edc2cb3880ba7233', '57726f56edc2cb3880ba7233', '57727cbaedc2cb3880e561f7', '57727c95edc2cb3880e4d1d4', '57727c2eedc2cb3880e39405', '57726f56edc2cb3880ba7233']","['57726f49edc2cb3880ba034f', '57726f49edc2cb3880ba034f', '57726e37edc2cb3880b628ee', '57726f49edc2cb3880ba034f']",[],0,-1.0
27,3.5206838337837865,2.021722956442927,1.7874048008113603,"['5772700eedc2cb3880bc82ce', '57726f59edc2cb3880ba76b3', '5772700eedc2cb3880bc82ce', '5772700eedc2cb3880bc82ce', '5772700eedc2cb3880bc82ce']","['5772700eedc2cb3880bc82ce', '5772700eedc2cb3880bc82ce', '57726f59edc2cb3880ba76b3', '57726f76edc2cb3880baa425', '57727cbaedc2cb3880e561f7']","['57726f76edc2cb3880baa425', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57726f76edc2cb3880baa425', '57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '5772700eedc2cb3880bc82ce']",0,-1.0
28,5.28102575067568,2.021722956442927,1.7874048008113603,"['57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727d14edc2cb3880e6926e', '57727d14edc2cb3880e6926e', '57727c2eedc2cb3880e392f5', '57727c2eedc2cb3880e392f5', '57727c2eedc2cb3880e392f5', '57726f48edc2cb3880ba012f', '57726f48edc2cb3880ba012f', '57726f48edc2cb3880ba012f', '577278cdedc2cb3880d9370c', '577278cdedc2cb3880d9370c', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '57727015edc2cb3880bceb08', '577278cdedc2cb3880d9370c', '57727d14edc2cb3880e6926e']",[],"['57727015edc2cb3880bceb08', '577278cdedc2cb3880d9370c']",1,-1.0
29,2.933903194819822,2.021722956442927,1.7874048008113603,"['57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727cbaedc2cb3880e561f7', '5772752eedc2cb3880cd9f38', '57727c95edc2cb3880e4d1d4', '57726f77edc2cb3880baa4c5', '57727015edc2cb3880bceb28', '57727c95edc2cb3880e4d1d4', '57726f77edc2cb3880baa4c5']","['5772752eedc2cb3880cd9f38', '57726e37edc2cb3880b628ee', '57726e37edc2cb3880b628ee', '57727c95edc2cb3880e4d1d4', '57727cbaedc2cb3880e561f7']","['57726f77edc2cb3880baa4c5', '57727015edc2cb3880bceb28', '57727cbaedc2cb3880e561f7', '57727015edc2cb3880bceb28', '5772752eedc2cb3880cd9f38', '57726e37edc2cb3880b628ee']",0,-1.0
30,3.5206838337837865,0.0,0.0,"['57726f59edc2cb3880ba76b3', '57726f59edc2cb3880ba76b3', '57727d14edc2cb3880e6926e', '57727d14edc2cb3880e6926e', '57726f48edc2cb3880ba012f', '57726f48edc2cb3880ba012f', '577278cdedc2cb3880d9370c', '57727015edc2cb3880bceb08', '57727cbaedc2cb3880e561f7']","['57726fffedc2cb3880bc69d6', '57727cbaedc2cb3880e561f7']",['57726fffedc2cb3880bc69d6'],1,-1.0
31,1.7603419168918932,0.0,1.7874048008113603,"['57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727071edc2cb3880be3213', '57727071edc2cb3880be3213', '57727071edc2cb3880be3213', '57727cbaedc2cb3880e561f7', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4']","['57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727c95edc2cb3880e4d1d4', '57727071edc2cb3880be3213', '57727071edc2cb3880be3213', '57727071edc2cb3880be3213', '57727071edc2cb3880be3213', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727cbaedc2cb3880e561f7', '57727071edc2cb3880be3213']","['57727071edc2cb3880be3213', '57727071edc2cb3880be3213']",1,-1.0
